2022-09-20 16:20:48.224 [main] INFO  signaturePdf.signaturePdfApp.SignaturePdfAppApplication - Starting SignaturePdfAppApplication using Java 17.0.3 on Rasto-HomePC with PID 270368 (C:\Projects\signaturePdf\target\classes started by Rasťo in C:\Projects\signaturePdf)
2022-09-20 16:20:48.241 [main] INFO  signaturePdf.signaturePdfApp.SignaturePdfAppApplication - No active profile set, falling back to 1 default profile: "default"
2022-09-20 16:20:49.080 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-09-20 16:20:49.093 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-09-20 16:20:49.093 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-20 16:20:49.094 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-09-20 16:20:49.175 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-20 16:20:49.175 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 893 ms
2022-09-20 16:20:49.418 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2022-09-20 16:20:49.546 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-09-20 16:20:49.569 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-09-20 16:20:49.579 [main] INFO  signaturePdf.signaturePdfApp.SignaturePdfAppApplication - Started SignaturePdfAppApplication in 1.624 seconds (JVM running for 2.294)
2022-09-20 16:20:58.829 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-20 16:20:58.830 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-20 16:20:58.830 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-09-20 16:21:01.932 [http-nio-8080-exec-2] INFO  signaturePdf.signaturePdfApp.Logging - File was added to hashmap with id: 935514013
2022-09-20 16:21:01.983 [http-nio-8080-exec-2] INFO  signaturePdf.signaturePdfApp.Logging - PDF was received: test1.pdf  size: 200893 bytes
2022-09-20 16:21:07.247 [http-nio-8080-exec-8] INFO  signaturePdf.signaturePdfApp.Logging - Signature image was received: image.png  , size: 7331 bytes
2022-09-20 16:21:07.402 [http-nio-8080-exec-8] INFO  signaturePdf.signaturePdfApp.Logging - Signature image was converted from PNG to JPG
2022-09-20 16:21:07.433 [http-nio-8080-exec-8] INFO  signaturePdf.signaturePdfApp.Logging - First signature was added to PDF file to coordinates x: 106.22 y: 383.95
2022-09-20 16:21:12.935 [http-nio-8080-exec-1] INFO  signaturePdf.signaturePdfApp.Logging - PDF was downloaded: output.pdf
2022-09-20 16:21:18.397 [http-nio-8080-exec-4] INFO  signaturePdf.signaturePdfApp.Logging - Signature image was received: image.png  , size: 5776 bytes
2022-09-20 16:21:18.404 [Finalizer] WARN  org.apache.pdfbox.cos.COSDocument - Warning: You did not close a PDF Document
2022-09-20 16:21:18.422 [http-nio-8080-exec-4] INFO  signaturePdf.signaturePdfApp.Logging - Signature image was converted from PNG to JPG
2022-09-20 16:21:18.425 [http-nio-8080-exec-4] INFO  signaturePdf.signaturePdfApp.Logging - Second signature was added to PDF file to coordinates x: 424.9 y: 383.95
2022-09-20 16:21:20.052 [http-nio-8080-exec-6] INFO  signaturePdf.signaturePdfApp.Logging - PDF was downloaded: output.pdf
2022-09-20 16:31:40.107 [main] INFO  signaturePdf.signaturePdfApp.SignaturePdfAppApplication - Starting SignaturePdfAppApplication using Java 17.0.3 on Rasto-HomePC with PID 67860 (C:\Projects\signaturePdf\target\classes started by Rasťo in C:\Projects\signaturePdf)
2022-09-20 16:31:40.133 [main] INFO  signaturePdf.signaturePdfApp.SignaturePdfAppApplication - No active profile set, falling back to 1 default profile: "default"
2022-09-20 16:31:41.008 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
